reachability_status,status,source_labels,url,final_url,lanes,source_artifacts,title_warning,title,error
reachable,200,ForecastBench,https://forecastingresearch.org/research/forecastbench,https://forecastingresearch.org/research/forecastbench,competitive_positioning; forecast_scoring; market_niche,docs/launch-readiness/competitive-positioning-evidence-validation-2026-06-06.json#current_competitive_sources; docs/launch-readiness/forecast-scoring-evidence-validation-2026-06-06.json#current_source_alignment; docs/launch-readiness/market-niche-evidence-validation-2026-06-06.json#current_research_anchors,,ForecastBench &#8211; Forecasting Research Institute,
reachable,200,OWASP GenAI/LLM Top 10 2025,https://genai.owasp.org/llm-top-10/,https://genai.owasp.org/llm-top-10/,commercial_confidence_frameworks,docs/launch-readiness/commercial-confidence-gate-2026-06-06.json#external_framework_alignment,,LLMRisks Archive - OWASP Gen AI Security Project,
reachable,200,Good Judgment Superforecasting services,https://goodjudgment.com/,https://goodjudgment.com/,competitive_positioning; market_niche,docs/launch-readiness/competitive-positioning-evidence-validation-2026-06-06.json#current_competitive_sources; docs/launch-readiness/market-niche-evidence-validation-2026-06-06.json#current_research_anchors,,See the future sooner with Superforecasting | Good Judgment,
reachable,200,Good Judgment professional forecasting services,https://goodjudgment.com/services/,https://goodjudgment.com/services/,loophole_remediation,docs/launch-readiness/commercial-loophole-remediation-2026-06-06.json#current_source_anchors,,Accurate forecasts and training from professional Superforecasters,
reachable,200,NIST AI 600-1 Generative AI Profile,https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,loophole_remediation,docs/launch-readiness/commercial-loophole-remediation-2026-06-06.json#current_source_anchors,,,
reachable,200,OWASP ASVS,https://owasp.org/www-project-application-security-verification-standard/,https://owasp.org/www-project-application-security-verification-standard/,rls_proof,docs/launch-readiness/rls-proof-evidence-validation-2026-06-06.json#current_source_alignment,,OWASP Application Security Verification Standard (ASVS) | OWASP Foundation,
reachable,200,OWASP GenAI Security Project / LLM Top 10; OWASP Top 10 for LLM Applications 2025; OWASP Top 10 for Large Language Model Applications,https://owasp.org/www-project-top-10-for-large-language-model-applications/,https://owasp.org/www-project-top-10-for-large-language-model-applications/,enterprise_trust; loophole_remediation; market_niche,docs/launch-readiness/commercial-loophole-remediation-2026-06-06.json#current_source_anchors; docs/launch-readiness/enterprise-trust-execution-readiness-2026-06-06.json#current_enterprise_trust_sources; docs/launch-readiness/market-niche-evidence-validation-2026-06-06.json#current_research_anchors,,OWASP Top 10 for Large Language Model Applications | OWASP Foundation,
reachable,200,Playwright configuration,https://playwright.dev/docs/test-use-options,https://playwright.dev/docs/test-use-options,hosted_proof,docs/launch-readiness/hosted-smoke-execution-readiness-2026-06-06.json#current_hosted_proof_sources,,Configuration (use) | Playwright,
reachable,200,Playwright trace viewer,https://playwright.dev/docs/trace-viewer,https://playwright.dev/docs/trace-viewer,hosted_proof,docs/launch-readiness/hosted-smoke-execution-readiness-2026-06-06.json#current_hosted_proof_sources,,Trace viewer | Playwright,
reachable,200,Supabase pgTAP docs,https://supabase.com/docs/guides/database/extensions/pgtap,https://supabase.com/docs/guides/database/extensions/pgtap,rls_proof,docs/launch-readiness/rls-proof-evidence-validation-2026-06-06.json#current_source_alignment,,pgTAP: Unit Testing | Supabase Docs,
reachable,200,Supabase Row Level Security docs,https://supabase.com/docs/guides/database/postgres/row-level-security,https://supabase.com/docs/guides/database/postgres/row-level-security,rls_proof,docs/launch-readiness/rls-proof-evidence-validation-2026-06-06.json#current_source_alignment,,Row Level Security | Supabase Docs,
reachable,200,Supabase Edge Functions,https://supabase.com/docs/guides/functions,https://supabase.com/docs/guides/functions,hosted_proof,docs/launch-readiness/hosted-smoke-execution-readiness-2026-06-06.json#current_hosted_proof_sources,,Edge Functions | Supabase Docs,
reachable,200,Supabase local development and CLI,https://supabase.com/docs/guides/local-development,https://supabase.com/docs/guides/local-development,hosted_proof,docs/launch-readiness/hosted-smoke-execution-readiness-2026-06-06.json#current_hosted_proof_sources,,Local Development &amp; CLI | Supabase Docs,
reachable,200,Supabase Testing overview,https://supabase.com/docs/guides/local-development/testing/overview,https://supabase.com/docs/guides/local-development/testing/overview,rls_proof,docs/launch-readiness/rls-proof-evidence-validation-2026-06-06.json#current_source_alignment,,Testing Overview | Supabase Docs,
reachable,200,CISA Secure by Design; CISA Secure by Design software manufacturer guidance,https://www.cisa.gov/news-events/news/building-secure-design-ecosystem,https://www.cisa.gov/news-events/news/building-secure-design-ecosystem,loophole_remediation; market_niche,docs/launch-readiness/commercial-loophole-remediation-2026-06-06.json#current_source_anchors; docs/launch-readiness/market-niche-evidence-validation-2026-06-06.json#current_research_anchors,,Building a Secure by Design Ecosystem | CISA,
reachable,200,CISA Secure by Demand Guide; CISA Secure by Design and Secure by Demand,https://www.cisa.gov/resources-tools/resources/secure-demand-guide,https://www.cisa.gov/resources-tools/resources/secure-demand-guide,commercial_confidence_frameworks; enterprise_procurement,docs/launch-readiness/commercial-confidence-gate-2026-06-06.json#external_framework_alignment; docs/launch-readiness/enterprise-procurement-readiness-gate-2026-06-06.json#current_source_alignment,,Secure by Demand Guide: How Software Customers Can Drive a Secure Technology Ecosystem | CISA,
reachable,200,CISA Secure by Demand Guide,https://www.cisa.gov/sites/default/files/2024-08/SecureByDemandGuide_080624_508c.pdf,https://www.cisa.gov/sites/default/files/2024-08/SecureByDemandGuide_080624_508c.pdf,enterprise_trust,docs/launch-readiness/enterprise-trust-execution-readiness-2026-06-06.json#current_enterprise_trust_sources,,,
reachable,200,Control Risks RiskMap 2026,https://www.controlrisks.com/riskmap,https://www.controlrisks.com/riskmap,competitive_positioning,docs/launch-readiness/competitive-positioning-evidence-validation-2026-06-06.json#current_competitive_sources,,RiskMap 2026 | Control Risks,
reachable,200,Dataminr real-time risk intelligence,https://www.dataminr.com/,https://www.dataminr.com/,loophole_remediation,docs/launch-readiness/commercial-loophole-remediation-2026-06-06.json#current_source_anchors,,"AI-Powered Real-Time Event, Threat &amp; Risk Intelligence - Dataminr",
reachable,200,Eurasia Group political risk advisory,https://www.eurasiagroup.net/services/political-risk-advisory,https://www.eurasiagroup.net/services/political-risk-advisory,competitive_positioning,docs/launch-readiness/competitive-positioning-evidence-validation-2026-06-06.json#current_competitive_sources,,Eurasia Group | Political risk advisory,
reachable,200,ForecastBench; ForecastBench dynamic forecasting benchmark,https://www.forecastbench.org/about/,https://www.forecastbench.org/about/,commercial_confidence_frameworks; forecast_protocol; loophole_remediation; prediction_science,docs/launch-readiness/commercial-confidence-gate-2026-06-06.json#external_framework_alignment; docs/launch-readiness/commercial-loophole-remediation-2026-06-06.json#current_source_anchors; docs/launch-readiness/forecast-evaluation-protocol-2026-06-06.json#external_methodology_alignment; docs/launch-readiness/prediction-science-evidence-validation-2026-06-06.json#current_forecasting_science_sources,,About - ForecastBench,
reachable,200,ForecastBench docs; ForecastBench documentation,https://www.forecastbench.org/docs/,https://www.forecastbench.org/docs/,forecast_protocol; forecast_scoring,docs/launch-readiness/forecast-evaluation-protocol-2026-06-06.json#external_methodology_alignment; docs/launch-readiness/forecast-scoring-evidence-validation-2026-06-06.json#current_source_alignment,,Docs - ForecastBench,
access_limited_unverified,403,FTC AI claims substantiation guidance,https://www.ftc.gov/business-guidance/blog/2023/02/keep-your-ai-claims-check,https://www.ftc.gov/business-guidance/blog/2023/02/keep-your-ai-claims-check,commercial_confidence_frameworks,docs/launch-readiness/commercial-confidence-gate-2026-06-06.json#external_framework_alignment,title_indicates_not_found,Page not found | Federal Trade Commission,
access_limited_unverified,403,Gartner procurement GenAI disillusionment signal,https://www.gartner.com/en/newsroom/press-releases/2025-07-30-gartner-says-generative-ai-for-procurement-has-entered-the-trough-of-disillusionment,https://www.gartner.com/en/newsroom/press-releases/2025-07-30-gartner-says-generative-ai-for-procurement-has-entered-the-trough-of-disillusionment,market_niche,docs/launch-readiness/market-niche-evidence-validation-2026-06-06.json#current_research_anchors,title_indicates_interstitial,Just a moment... | Gartner,
reachable,200,IARPA ACE forecasting program,https://www.iarpa.gov/research-programs/ace,https://www.iarpa.gov/research-programs/ace,loophole_remediation,docs/launch-readiness/commercial-loophole-remediation-2026-06-06.json#current_source_anchors,,IARPA - ACE,
reachable,200,ISO/IEC 42001:2023; ISO/IEC 42001:2023 AI management system,https://www.iso.org/standard/42001,https://www.iso.org/standard/42001,enterprise_procurement; enterprise_trust; market_niche,docs/launch-readiness/enterprise-procurement-readiness-gate-2026-06-06.json#current_source_alignment; docs/launch-readiness/enterprise-trust-execution-readiness-2026-06-06.json#current_enterprise_trust_sources; docs/launch-readiness/market-niche-evidence-validation-2026-06-06.json#current_research_anchors,,ISO/IEC 42001:2023 - AI management systems,
reachable,200,ISO/IEC 42001:2023,https://www.iso.org/standard/81230.html,https://www.iso.org/standard/42001,commercial_confidence_frameworks,docs/launch-readiness/commercial-confidence-gate-2026-06-06.json#external_framework_alignment,,ISO/IEC 42001:2023 - AI management systems,
access_limited_unverified,403,McKinsey CFO Pulse Survey 2026,https://www.mckinsey.com/capabilities/strategy-and-corporate-finance/our-insights/cfos-have-been-concerned-about-geopolitical-impacts-for-months,https://www.mckinsey.com/capabilities/strategy-and-corporate-finance/our-insights/cfos-have-been-concerned-about-geopolitical-impacts-for-months,market_niche,docs/launch-readiness/market-niche-evidence-validation-2026-06-06.json#current_research_anchors,title_indicates_access_denied,Access Denied,
access_limited_unverified,403,Metaculus forecasting platform and aggregation engine,https://www.metaculus.com/about/,https://www.metaculus.com/about/,competitive_positioning; market_niche,docs/launch-readiness/competitive-positioning-evidence-validation-2026-06-06.json#current_competitive_sources; docs/launch-readiness/market-niche-evidence-validation-2026-06-06.json#current_research_anchors,title_indicates_interstitial,Just a moment...,
access_limited_unverified,403,Metaculus FutureEval,https://www.metaculus.com/futureeval/,https://www.metaculus.com/futureeval/,loophole_remediation,docs/launch-readiness/commercial-loophole-remediation-2026-06-06.json#current_source_anchors,title_indicates_interstitial,Just a moment...,
reachable,200,Metaculus FutureEval; Metaculus FutureEval methodology,https://www.metaculus.com/futureeval/methodology/,https://www.metaculus.com/futureeval/methodology/,commercial_confidence_frameworks; competitive_positioning; forecast_protocol; forecast_scoring; market_niche; prediction_science,docs/launch-readiness/commercial-confidence-gate-2026-06-06.json#external_framework_alignment; docs/launch-readiness/competitive-positioning-evidence-validation-2026-06-06.json#current_competitive_sources; docs/launch-readiness/forecast-evaluation-protocol-2026-06-06.json#external_methodology_alignment; docs/launch-readiness/forecast-scoring-evidence-validation-2026-06-06.json#current_source_alignment; docs/launch-readiness/market-niche-evidence-validation-2026-06-06.json#current_research_anchors; docs/launch-readiness/prediction-science-evidence-validation-2026-06-06.json#current_forecasting_science_sources,,Methodology | FutureEval | Metaculus,
reachable,200,Metaculus scores FAQ,https://www.metaculus.com/help/scores-faq/,https://www.metaculus.com/help/scores-faq/,forecast_protocol,docs/launch-readiness/forecast-evaluation-protocol-2026-06-06.json#external_methodology_alignment,,Scores FAQ | Metaculus,
access_limited_unverified,403,Metaculus track record and calibration evidence,https://www.metaculus.com/questions/track-record/,https://www.metaculus.com/questions/track-record/,loophole_remediation,docs/launch-readiness/commercial-loophole-remediation-2026-06-06.json#current_source_anchors,title_indicates_interstitial,Just a moment...,
reachable,200,NIST AI RMF; NIST AI RMF Critical Infrastructure Profile concept note; NIST AI Risk Management Framework; NIST AI Risk Management Framework plus Generative AI Profile,https://www.nist.gov/itl/ai-risk-management-framework,https://www.nist.gov/itl/ai-risk-management-framework,commercial_confidence_frameworks; enterprise_procurement; enterprise_trust; loophole_remediation; market_niche; prediction_science,docs/launch-readiness/commercial-confidence-gate-2026-06-06.json#external_framework_alignment; docs/launch-readiness/commercial-loophole-remediation-2026-06-06.json#current_source_anchors; docs/launch-readiness/enterprise-procurement-readiness-gate-2026-06-06.json#current_source_alignment; docs/launch-readiness/enterprise-trust-execution-readiness-2026-06-06.json#current_enterprise_trust_sources; docs/launch-readiness/market-niche-evidence-validation-2026-06-06.json#current_research_anchors; docs/launch-readiness/prediction-science-evidence-validation-2026-06-06.json#current_forecasting_science_sources,,AI Risk Management Framework | NIST,
reachable,200,NIST Privacy Framework,https://www.nist.gov/privacy-framework/privacy-framework,https://www.nist.gov/privacy-framework/privacy-framework,enterprise_procurement,docs/launch-readiness/enterprise-procurement-readiness-gate-2026-06-06.json#current_source_alignment,,Privacy Framework | NIST,
reachable,200,NIST AI RMF Trustworthy AI in Critical Infrastructure Profile concept note,https://www.nist.gov/system/files/documents/2026/04/08/Concept%20Note_%20Development%20of%20the%20NIST%20AI%20RMF%20Trustworthy%20Use%20of%20AI%20in%20Critical%20Infrastructure%20Profile.pdf,https://www.nist.gov/system/files/documents/2026/04/08/Concept%20Note_%20Development%20of%20the%20NIST%20AI%20RMF%20Trustworthy%20Use%20of%20AI%20in%20Critical%20Infrastructure%20Profile.pdf,enterprise_trust,docs/launch-readiness/enterprise-trust-execution-readiness-2026-06-06.json#current_enterprise_trust_sources,,,
access_limited_unverified,403,"OECD AI Principles, updated 2024",https://www.oecd.org/en/topics/ai-principles.html,https://www.oecd.org/en/topics/ai-principles.html,loophole_remediation,docs/launch-readiness/commercial-loophole-remediation-2026-06-06.json#current_source_anchors,title_indicates_interstitial,Just a moment...,
reachable,200,Oxford Analytica advisory services,https://www.oxan.com/,https://www.dowjones.com/business-intelligence/risk/products/oxford-analytica-daily-brief/,competitive_positioning,docs/launch-readiness/competitive-positioning-evidence-validation-2026-06-06.json#current_competitive_sources,,The Oxford Analytica Daily Brief,
reachable,200,Palantir AIP and Foundry platform overview,https://www.palantir.com/docs/foundry/platform-overview,https://www.palantir.com/docs/foundry/platform-overview,competitive_positioning,docs/launch-readiness/competitive-positioning-evidence-validation-2026-06-06.json#current_competitive_sources,,Platform overview • Overview • Palantir,
reachable,200,Palantir AIP,https://www.palantir.com/platforms/aip/,https://www.palantir.com/platforms/aip/,loophole_remediation,docs/launch-readiness/commercial-loophole-remediation-2026-06-06.json#current_source_anchors,,Palantir Artificial Intelligence Platform,
reachable,200,PostgreSQL Row Security Policies,https://www.postgresql.org/docs/current/ddl-rowsecurity.html,https://www.postgresql.org/docs/current/ddl-rowsecurity.html,rls_proof,docs/launch-readiness/rls-proof-evidence-validation-2026-06-06.json#current_source_alignment,,PostgreSQL: Documentation: 18: 5.9. Row Security Policies,
reachable,200,Quid AI-powered consumer and market intelligence,https://www.quid.com/,https://www.quid.com/,competitive_positioning,docs/launch-readiness/competitive-positioning-evidence-validation-2026-06-06.json#current_competitive_sources,,Quid | AI-Powered Consumer &amp; Market Intelligence Platform,
reachable,200,Recorded Future Geopolitical Intelligence,https://www.recordedfuture.com/products/geopolitical-intelligence,https://www.recordedfuture.com/products/geopolitical-intelligence,competitive_positioning,docs/launch-readiness/competitive-positioning-evidence-validation-2026-06-06.json#current_competitive_sources,,Protect Assets with Geopolitical Intelligence | Recorded Future,
reachable,200,Tradeweb ICD Portal Client Survey 2026,https://www.tradeweb.com/newsroom/media-center/news-releases/geopolitical-risk-concerns-surge-for-corporate-treasurers-according-to-2026-tradeweb-icd-portal-client-survey/,https://www.tradeweb.com/newsroom/media-center/news-releases/geopolitical-risk-concerns-surge-for-corporate-treasurers-according-to-2026-tradeweb-icd-portal-client-survey/,market_niche,docs/launch-readiness/market-niche-evidence-validation-2026-06-06.json#current_research_anchors,,"Geopolitical Risk Concerns Surge for Corporate Treasurers, According to 2026 Tradeweb ICD Portal Client Survey",
reachable,200,TRIPOD+AI reporting discipline,https://www.tripod-statement.org/,https://www.tripod-statement.org/,commercial_confidence_frameworks,docs/launch-readiness/commercial-confidence-gate-2026-06-06.json#external_framework_alignment,,Tripod statement,
reachable,200,World Economic Forum Strategic Intelligence,https://www.weforum.org/focus/strategic-intelligence/,https://intelligence.weforum.org/discover,competitive_positioning; market_niche,docs/launch-readiness/competitive-positioning-evidence-validation-2026-06-06.json#current_competitive_sources; docs/launch-readiness/market-niche-evidence-validation-2026-06-06.json#current_research_anchors,,Strategic Intelligence,
reachable,200,World Economic Forum Global Risks Report 2026,https://www.weforum.org/publications/global-risks-report-2026/in-full/,https://www.weforum.org/publications/global-risks-report-2026/in-full/,loophole_remediation,docs/launch-readiness/commercial-loophole-remediation-2026-06-06.json#current_source_anchors,,Preface - Global Risks Report 2026 | World Economic Forum,
