table,domain,remediation_batch_order,batch_priority,table_priority,data_category,default_sensitivity,recommended_visibility,public_or_anon_exception_default,policy_exception_status,owner_model_to_confirm,owner_to_assign,approval_status,first_fix_batch_candidate,finding_count,p1_finding_count,issue_types,operations,recommended_policy_direction,required_persona_tests,owner_questions,source_locations
whitebox_experiment_evaluations,forecasting_and_ml_evaluation,2,P1,P1,evaluation_shadow_and_forecast_data,high,owner_reviewer_service_role_only_with_published_summary_exceptions,only_if_published_summary,pending_public_exception_review,"forecast owner, analysis owner, reviewer, release job, or service role",TBD,pending_owner_classification,true,2,2,sensitive_table_read_without_identity_predicate|unconditional_using_true,SELECT,"Restrict evaluation, shadow, and calibration tables to service-role jobs, owners, reviewers, and explicitly public published summaries.",anon_denied_private_evaluation|unrelated_authenticated_denied|owner_or_reviewer_allowed|published_summary_allowed_if_classified|service_role_allowed,Which metrics are private evaluation rows versus public summaries?|Which release or calibration jobs need service-role writes?|How are resolved outcomes approved before publication?,supabase/migrations/20260501000100_ml_phase1_phase2_foundation.sql:224
whitebox_experiment_state,forecasting_and_ml_evaluation,2,P1,P1,evaluation_shadow_and_forecast_data,high,owner_reviewer_service_role_only_with_published_summary_exceptions,only_if_published_summary,pending_public_exception_review,"forecast owner, analysis owner, reviewer, release job, or service role",TBD,pending_owner_classification,true,2,2,sensitive_table_read_without_identity_predicate|unconditional_using_true,SELECT,"Restrict evaluation, shadow, and calibration tables to service-role jobs, owners, reviewers, and explicitly public published summaries.",anon_denied_private_evaluation|unrelated_authenticated_denied|owner_or_reviewer_allowed|published_summary_allowed_if_classified|service_role_allowed,Which metrics are private evaluation rows versus public summaries?|Which release or calibration jobs need service-role writes?|How are resolved outcomes approved before publication?,supabase/migrations/20260501000100_ml_phase1_phase2_foundation.sql:221
strategy_outcomes,forecasting_and_ml_evaluation,2,P1,P1,evaluation_shadow_and_forecast_data,high,owner_reviewer_service_role_only_with_published_summary_exceptions,only_if_published_summary,pending_public_exception_review,"forecast owner, analysis owner, reviewer, release job, or service role",TBD,pending_owner_classification,true,6,1,anonymous_write_check|unconditional_using_true|write_without_obvious_identity_predicate,INSERT|SELECT,"Restrict evaluation, shadow, and calibration tables to service-role jobs, owners, reviewers, and explicitly public published summaries.",anon_denied_private_evaluation|unrelated_authenticated_denied|owner_or_reviewer_allowed|published_summary_allowed_if_classified|service_role_allowed,Which metrics are private evaluation rows versus public summaries?|Which release or calibration jobs need service-role writes?|How are resolved outcomes approved before publication?,supabase/migrations/20250918110000_advanced_services_tables.sql:114|supabase/migrations/20250918110000_advanced_services_tables.sql:117|supabase/migrations/20251006100000_realtime_features.sql:275|supabase/migrations/20251213000000_eliminate_mock_data.sql:38|supabase/migrations/20251213000000_eliminate_mock_data.sql:49
cross_domain_transfer_results,forecasting_and_ml_evaluation,2,P1,P1,evaluation_shadow_and_forecast_data,high,owner_reviewer_service_role_only_with_published_summary_exceptions,only_if_published_summary,pending_public_exception_review,"forecast owner, analysis owner, reviewer, release job, or service role",TBD,pending_owner_classification,true,3,1,anonymous_write_check|unconditional_using_true|write_without_obvious_identity_predicate,INSERT|SELECT,"Restrict evaluation, shadow, and calibration tables to service-role jobs, owners, reviewers, and explicitly public published summaries.",anon_denied_private_evaluation|unrelated_authenticated_denied|owner_or_reviewer_allowed|published_summary_allowed_if_classified|service_role_allowed,Which metrics are private evaluation rows versus public summaries?|Which release or calibration jobs need service-role writes?|How are resolved outcomes approved before publication?,supabase/migrations/20250918110000_advanced_services_tables.sql:154|supabase/migrations/20250918110000_advanced_services_tables.sql:157
dynamic_recalibration_results,forecasting_and_ml_evaluation,2,P1,P1,evaluation_shadow_and_forecast_data,high,owner_reviewer_service_role_only_with_published_summary_exceptions,only_if_published_summary,pending_public_exception_review,"forecast owner, analysis owner, reviewer, release job, or service role",TBD,pending_owner_classification,true,3,1,anonymous_write_check|unconditional_using_true|write_without_obvious_identity_predicate,INSERT|SELECT,"Restrict evaluation, shadow, and calibration tables to service-role jobs, owners, reviewers, and explicitly public published summaries.",anon_denied_private_evaluation|unrelated_authenticated_denied|owner_or_reviewer_allowed|published_summary_allowed_if_classified|service_role_allowed,Which metrics are private evaluation rows versus public summaries?|Which release or calibration jobs need service-role writes?|How are resolved outcomes approved before publication?,supabase/migrations/20250918110000_advanced_services_tables.sql:146|supabase/migrations/20250918110000_advanced_services_tables.sql:149
outcome_forecasting_results,forecasting_and_ml_evaluation,2,P1,P1,evaluation_shadow_and_forecast_data,high,owner_reviewer_service_role_only_with_published_summary_exceptions,only_if_published_summary,pending_public_exception_review,"forecast owner, analysis owner, reviewer, release job, or service role",TBD,pending_owner_classification,true,3,1,anonymous_write_check|unconditional_using_true|write_without_obvious_identity_predicate,INSERT|SELECT,"Restrict evaluation, shadow, and calibration tables to service-role jobs, owners, reviewers, and explicitly public published summaries.",anon_denied_private_evaluation|unrelated_authenticated_denied|owner_or_reviewer_allowed|published_summary_allowed_if_classified|service_role_allowed,Which metrics are private evaluation rows versus public summaries?|Which release or calibration jobs need service-role writes?|How are resolved outcomes approved before publication?,supabase/migrations/20250918110000_advanced_services_tables.sql:138|supabase/migrations/20250918110000_advanced_services_tables.sql:141
strategy_success_analysis,forecasting_and_ml_evaluation,2,P1,P1,evaluation_shadow_and_forecast_data,high,owner_reviewer_service_role_only_with_published_summary_exceptions,only_if_published_summary,pending_public_exception_review,"forecast owner, analysis owner, reviewer, release job, or service role",TBD,pending_owner_classification,true,3,1,anonymous_write_check|unconditional_using_true|write_without_obvious_identity_predicate,INSERT|SELECT,"Restrict evaluation, shadow, and calibration tables to service-role jobs, owners, reviewers, and explicitly public published summaries.",anon_denied_private_evaluation|unrelated_authenticated_denied|owner_or_reviewer_allowed|published_summary_allowed_if_classified|service_role_allowed,Which metrics are private evaluation rows versus public summaries?|Which release or calibration jobs need service-role writes?|How are resolved outcomes approved before publication?,supabase/migrations/20250918110000_advanced_services_tables.sql:106|supabase/migrations/20250918110000_advanced_services_tables.sql:109
temporal_optimization_results,forecasting_and_ml_evaluation,2,P1,P1,evaluation_shadow_and_forecast_data,high,owner_reviewer_service_role_only_with_published_summary_exceptions,only_if_published_summary,pending_public_exception_review,"forecast owner, analysis owner, reviewer, release job, or service role",TBD,pending_owner_classification,true,3,1,anonymous_write_check|unconditional_using_true|write_without_obvious_identity_predicate,INSERT|SELECT,"Restrict evaluation, shadow, and calibration tables to service-role jobs, owners, reviewers, and explicitly public published summaries.",anon_denied_private_evaluation|unrelated_authenticated_denied|owner_or_reviewer_allowed|published_summary_allowed_if_classified|service_role_allowed,Which metrics are private evaluation rows versus public summaries?|Which release or calibration jobs need service-role writes?|How are resolved outcomes approved before publication?,supabase/migrations/20250918110000_advanced_services_tables.sql:130|supabase/migrations/20250918110000_advanced_services_tables.sql:133
calibration_models,forecasting_and_ml_evaluation,2,P1,P2,evaluation_shadow_and_forecast_data,high,owner_reviewer_service_role_only_with_published_summary_exceptions,only_if_published_summary,pending_public_exception_review,"forecast owner, analysis owner, reviewer, release job, or service role",TBD,pending_owner_classification,true,1,0,unconditional_using_true,SELECT,"Restrict evaluation, shadow, and calibration tables to service-role jobs, owners, reviewers, and explicitly public published summaries.",anon_denied_private_evaluation|unrelated_authenticated_denied|owner_or_reviewer_allowed|published_summary_allowed_if_classified|service_role_allowed,Which metrics are private evaluation rows versus public summaries?|Which release or calibration jobs need service-role writes?|How are resolved outcomes approved before publication?,supabase/migrations/20260501000100_ml_phase1_phase2_foundation.sql:203
community_metrics,forecasting_and_ml_evaluation,2,P1,P2,evaluation_shadow_and_forecast_data,high,owner_reviewer_service_role_only_with_published_summary_exceptions,only_if_published_summary,pending_public_exception_review,"forecast owner, analysis owner, reviewer, release job, or service role",TBD,pending_owner_classification,true,1,0,unconditional_using_true,SELECT,"Restrict evaluation, shadow, and calibration tables to service-role jobs, owners, reviewers, and explicitly public published summaries.",anon_denied_private_evaluation|unrelated_authenticated_denied|owner_or_reviewer_allowed|published_summary_allowed_if_classified|service_role_allowed,Which metrics are private evaluation rows versus public summaries?|Which release or calibration jobs need service-role writes?|How are resolved outcomes approved before publication?,supabase/migrations/20250902184600_0006_collective.sql:33
drift_signals,forecasting_and_ml_evaluation,2,P1,P2,evaluation_shadow_and_forecast_data,high,owner_reviewer_service_role_only_with_published_summary_exceptions,only_if_published_summary,pending_public_exception_review,"forecast owner, analysis owner, reviewer, release job, or service role",TBD,pending_owner_classification,true,1,0,unconditional_using_true,SELECT,"Restrict evaluation, shadow, and calibration tables to service-role jobs, owners, reviewers, and explicitly public published summaries.",anon_denied_private_evaluation|unrelated_authenticated_denied|owner_or_reviewer_allowed|published_summary_allowed_if_classified|service_role_allowed,Which metrics are private evaluation rows versus public summaries?|Which release or calibration jobs need service-role writes?|How are resolved outcomes approved before publication?,supabase/migrations/20260501000100_ml_phase1_phase2_foundation.sql:218
forecast_scores,forecasting_and_ml_evaluation,2,P1,P2,evaluation_shadow_and_forecast_data,high,owner_reviewer_service_role_only_with_published_summary_exceptions,only_if_published_summary,pending_public_exception_review,"forecast owner, analysis owner, reviewer, release job, or service role",TBD,pending_owner_classification,true,1,0,unconditional_using_true,SELECT,"Restrict evaluation, shadow, and calibration tables to service-role jobs, owners, reviewers, and explicitly public published summaries.",anon_denied_private_evaluation|unrelated_authenticated_denied|owner_or_reviewer_allowed|published_summary_allowed_if_classified|service_role_allowed,Which metrics are private evaluation rows versus public summaries?|Which release or calibration jobs need service-role writes?|How are resolved outcomes approved before publication?,supabase/migrations/20251212120000_enterprise_sso.sql:341
shadow_model_registry,forecasting_and_ml_evaluation,2,P1,P2,evaluation_shadow_and_forecast_data,high,owner_reviewer_service_role_only_with_published_summary_exceptions,only_if_published_summary,pending_public_exception_review,"forecast owner, analysis owner, reviewer, release job, or service role",TBD,pending_owner_classification,true,1,0,unconditional_using_true,SELECT,"Restrict evaluation, shadow, and calibration tables to service-role jobs, owners, reviewers, and explicitly public published summaries.",anon_denied_private_evaluation|unrelated_authenticated_denied|owner_or_reviewer_allowed|published_summary_allowed_if_classified|service_role_allowed,Which metrics are private evaluation rows versus public summaries?|Which release or calibration jobs need service-role writes?|How are resolved outcomes approved before publication?,supabase/migrations/20260501000100_ml_phase1_phase2_foundation.sql:227
shadow_predictions,forecasting_and_ml_evaluation,2,P1,P2,evaluation_shadow_and_forecast_data,high,owner_reviewer_service_role_only_with_published_summary_exceptions,only_if_published_summary,pending_public_exception_review,"forecast owner, analysis owner, reviewer, release job, or service role",TBD,pending_owner_classification,true,1,0,unconditional_using_true,SELECT,"Restrict evaluation, shadow, and calibration tables to service-role jobs, owners, reviewers, and explicitly public published summaries.",anon_denied_private_evaluation|unrelated_authenticated_denied|owner_or_reviewer_allowed|published_summary_allowed_if_classified|service_role_allowed,Which metrics are private evaluation rows versus public summaries?|Which release or calibration jobs need service-role writes?|How are resolved outcomes approved before publication?,supabase/migrations/20260501000100_ml_phase1_phase2_foundation.sql:230
temporal_forecasts,forecasting_and_ml_evaluation,2,P1,P2,evaluation_shadow_and_forecast_data,high,owner_reviewer_service_role_only_with_published_summary_exceptions,only_if_published_summary,pending_public_exception_review,"forecast owner, analysis owner, reviewer, release job, or service role",TBD,pending_owner_classification,true,1,0,unconditional_using_true,SELECT,"Restrict evaluation, shadow, and calibration tables to service-role jobs, owners, reviewers, and explicitly public published summaries.",anon_denied_private_evaluation|unrelated_authenticated_denied|owner_or_reviewer_allowed|published_summary_allowed_if_classified|service_role_allowed,Which metrics are private evaluation rows versus public summaries?|Which release or calibration jobs need service-role writes?|How are resolved outcomes approved before publication?,supabase/migrations/20251006100000_realtime_features.sql:297
collaborative_messages,collaboration_and_warroom,3,P1,P1,team_collaboration_data,high,member_creator_reviewer_service_role_only,no,not_allowed_by_default,"room/session membership, creator, reviewer, or service role",TBD,pending_owner_classification,true,4,3,anonymous_write_check|sensitive_table_read_without_identity_predicate|unconditional_using_true|write_without_obvious_identity_predicate,INSERT|SELECT,"Scope reads and writes to room/session membership, creator ownership, explicit reviewer roles, or service-role jobs.",anon_denied|non_member_denied|member_allowed|creator_allowed|service_role_allowed,Which membership table authorizes reads and writes?|Can creators invite members without exposing private rows?|Are any published summaries intentionally public?,supabase/migrations/20250102184612_0008_evidence_collective.sql:147|supabase/migrations/20250102184612_0008_evidence_collective.sql:160
collaborative_sessions,collaboration_and_warroom,3,P1,P1,team_collaboration_data,high,member_creator_reviewer_service_role_only,no,not_allowed_by_default,"room/session membership, creator, reviewer, or service role",TBD,pending_owner_classification,true,4,3,anonymous_write_check|sensitive_table_read_without_identity_predicate|unconditional_using_true|write_without_obvious_identity_predicate,INSERT|SELECT,"Scope reads and writes to room/session membership, creator ownership, explicit reviewer roles, or service-role jobs.",anon_denied|non_member_denied|member_allowed|creator_allowed|service_role_allowed,Which membership table authorizes reads and writes?|Can creators invite members without exposing private rows?|Are any published summaries intentionally public?,supabase/migrations/20250102184612_0008_evidence_collective.sql:135|supabase/migrations/20250102184612_0008_evidence_collective.sql:156
session_participants,collaboration_and_warroom,3,P1,P1,team_collaboration_data,high,member_creator_reviewer_service_role_only,no,not_allowed_by_default,"room/session membership, creator, reviewer, or service role",TBD,pending_owner_classification,true,4,3,anonymous_write_check|sensitive_table_read_without_identity_predicate|unconditional_using_true|write_without_obvious_identity_predicate,INSERT|SELECT,"Scope reads and writes to room/session membership, creator ownership, explicit reviewer roles, or service-role jobs.",anon_denied|non_member_denied|member_allowed|creator_allowed|service_role_allowed,Which membership table authorizes reads and writes?|Can creators invite members without exposing private rows?|Are any published summaries intentionally public?,supabase/migrations/20250102184612_0008_evidence_collective.sql:138|supabase/migrations/20250102184612_0008_evidence_collective.sql:157
warroom_assumptions,collaboration_and_warroom,3,P1,P1,team_collaboration_data,high,member_creator_reviewer_service_role_only,no,not_allowed_by_default,"room/session membership, creator, reviewer, or service role",TBD,pending_owner_classification,true,1,1,sensitive_table_read_without_identity_predicate,SELECT,"Scope reads and writes to room/session membership, creator ownership, explicit reviewer roles, or service-role jobs.",anon_denied|non_member_denied|member_allowed|creator_allowed|service_role_allowed,Which membership table authorizes reads and writes?|Can creators invite members without exposing private rows?|Are any published summaries intentionally public?,supabase/migrations/20260430000100_warroom_memory.sql:101
warroom_comments,collaboration_and_warroom,3,P1,P1,team_collaboration_data,high,member_creator_reviewer_service_role_only,no,not_allowed_by_default,"room/session membership, creator, reviewer, or service role",TBD,pending_owner_classification,true,1,1,sensitive_table_read_without_identity_predicate,SELECT,"Scope reads and writes to room/session membership, creator ownership, explicit reviewer roles, or service-role jobs.",anon_denied|non_member_denied|member_allowed|creator_allowed|service_role_allowed,Which membership table authorizes reads and writes?|Can creators invite members without exposing private rows?|Are any published summaries intentionally public?,supabase/migrations/20260430000100_warroom_memory.sql:135
warroom_decision_logs,collaboration_and_warroom,3,P1,P1,team_collaboration_data,high,member_creator_reviewer_service_role_only,no,not_allowed_by_default,"room/session membership, creator, reviewer, or service role",TBD,pending_owner_classification,true,1,1,sensitive_table_read_without_identity_predicate,SELECT,"Scope reads and writes to room/session membership, creator ownership, explicit reviewer roles, or service-role jobs.",anon_denied|non_member_denied|member_allowed|creator_allowed|service_role_allowed,Which membership table authorizes reads and writes?|Can creators invite members without exposing private rows?|Are any published summaries intentionally public?,supabase/migrations/20260430000100_warroom_memory.sql:84
warroom_scenario_versions,collaboration_and_warroom,3,P1,P1,team_collaboration_data,high,member_creator_reviewer_service_role_only,no,not_allowed_by_default,"room/session membership, creator, reviewer, or service role",TBD,pending_owner_classification,true,1,1,sensitive_table_read_without_identity_predicate,SELECT,"Scope reads and writes to room/session membership, creator ownership, explicit reviewer roles, or service-role jobs.",anon_denied|non_member_denied|member_allowed|creator_allowed|service_role_allowed,Which membership table authorizes reads and writes?|Can creators invite members without exposing private rows?|Are any published summaries intentionally public?,supabase/migrations/20260430000100_warroom_memory.sql:118
retrievals,retrieval_and_evidence,4,P1,P1,retrieval_query_and_source_context,high,owner_analysis_service_role_only_with_published_citation_exceptions,only_if_published_citation,pending_public_exception_review,"analysis owner, source publication status, or service role",TBD,pending_owner_classification,false,4,4,sensitive_table_read_without_identity_predicate|unconditional_using_true,SELECT,Separate public citation reads from private retrieval logs; route anonymous evidence writes through edge functions with rate limits and provenance metadata.,anon_denied_private_rows|unrelated_authenticated_denied|owner_allowed|published_citation_allowed_if_classified|service_role_allowed,Which rows are private retrieval logs versus public citations?|What publication flag makes a source safe to expose?|Which intake paths require anonymous writes behind an edge function?,supabase/migrations/20250904_0010_extend_analysis_runs_for_audience.sql:136|supabase/migrations/20260501000100_ml_phase1_phase2_foundation.sql:212
retrieval_cache,retrieval_and_evidence,4,P1,P1,retrieval_query_and_source_context,high,owner_analysis_service_role_only_with_published_citation_exceptions,only_if_published_citation,pending_public_exception_review,"analysis owner, source publication status, or service role",TBD,pending_owner_classification,false,2,2,sensitive_table_read_without_identity_predicate|unconditional_using_true,SELECT,Separate public citation reads from private retrieval logs; route anonymous evidence writes through edge functions with rate limits and provenance metadata.,anon_denied_private_rows|unrelated_authenticated_denied|owner_allowed|published_citation_allowed_if_classified|service_role_allowed,Which rows are private retrieval logs versus public citations?|What publication flag makes a source safe to expose?|Which intake paths require anonymous writes behind an edge function?,supabase/migrations/20250906110000_add_retrieval_cache_ph4.sql:30
retrieval_entity_links,retrieval_and_evidence,4,P1,P1,retrieval_query_and_source_context,high,owner_analysis_service_role_only_with_published_citation_exceptions,only_if_published_citation,pending_public_exception_review,"analysis owner, source publication status, or service role",TBD,pending_owner_classification,false,2,2,sensitive_table_read_without_identity_predicate|unconditional_using_true,SELECT,Separate public citation reads from private retrieval logs; route anonymous evidence writes through edge functions with rate limits and provenance metadata.,anon_denied_private_rows|unrelated_authenticated_denied|owner_allowed|published_citation_allowed_if_classified|service_role_allowed,Which rows are private retrieval logs versus public citations?|What publication flag makes a source safe to expose?|Which intake paths require anonymous writes behind an edge function?,supabase/migrations/20260501000100_ml_phase1_phase2_foundation.sql:215
retrieval_provider_runs,retrieval_and_evidence,4,P1,P1,retrieval_query_and_source_context,high,owner_analysis_service_role_only_with_published_citation_exceptions,only_if_published_citation,pending_public_exception_review,"analysis owner, source publication status, or service role",TBD,pending_owner_classification,false,2,2,sensitive_table_read_without_identity_predicate|unconditional_using_true,SELECT,Separate public citation reads from private retrieval logs; route anonymous evidence writes through edge functions with rate limits and provenance metadata.,anon_denied_private_rows|unrelated_authenticated_denied|owner_allowed|published_citation_allowed_if_classified|service_role_allowed,Which rows are private retrieval logs versus public citations?|What publication flag makes a source safe to expose?|Which intake paths require anonymous writes behind an edge function?,supabase/migrations/20260502000200_retrieval_provider_recovery.sql:37
evidence_citations,retrieval_and_evidence,4,P1,P1,retrieval_query_and_source_context,high,owner_analysis_service_role_only_with_published_citation_exceptions,only_if_published_citation,pending_public_exception_review,"analysis owner, source publication status, or service role",TBD,pending_owner_classification,false,3,1,anonymous_write_check|unconditional_using_true|write_without_obvious_identity_predicate,INSERT|SELECT,Separate public citation reads from private retrieval logs; route anonymous evidence writes through edge functions with rate limits and provenance metadata.,anon_denied_private_rows|unrelated_authenticated_denied|owner_allowed|published_citation_allowed_if_classified|service_role_allowed,Which rows are private retrieval logs versus public citations?|What publication flag makes a source safe to expose?|Which intake paths require anonymous writes behind an edge function?,supabase/migrations/20250102184612_0008_evidence_collective.sql:130|supabase/migrations/20250102184612_0008_evidence_collective.sql:155
evidence_sources,retrieval_and_evidence,4,P1,P1,retrieval_query_and_source_context,high,owner_analysis_service_role_only_with_published_citation_exceptions,only_if_published_citation,pending_public_exception_review,"analysis owner, source publication status, or service role",TBD,pending_owner_classification,false,3,1,anonymous_write_check|unconditional_using_true|write_without_obvious_identity_predicate,INSERT|SELECT,Separate public citation reads from private retrieval logs; route anonymous evidence writes through edge functions with rate limits and provenance metadata.,anon_denied_private_rows|unrelated_authenticated_denied|owner_allowed|published_citation_allowed_if_classified|service_role_allowed,Which rows are private retrieval logs versus public citations?|What publication flag makes a source safe to expose?|Which intake paths require anonymous writes behind an edge function?,supabase/migrations/20250102184612_0008_evidence_collective.sql:127|supabase/migrations/20250102184612_0008_evidence_collective.sql:154
analysis_runs,identity_and_review,5,P1,P1,authenticated_user_or_review_data,high,owner_reviewer_service_role_only,no,not_allowed_by_default,"user_id, created_by, reviewer assignment, or service role",TBD,pending_owner_classification,true,7,6,anonymous_write_check|policy_grants_to_public_role|sensitive_table_read_without_identity_predicate|unconditional_using_true|write_without_obvious_identity_predicate,INSERT|SELECT,"Require authenticated owner, reviewer, or service-role access; remove unconditional public reads and anonymous writes except through audited edge functions.",anon_denied|unrelated_authenticated_denied|owner_allowed|reviewer_allowed|service_role_allowed,Which user or reviewer owns each row?|Should any review metadata be published after redaction?|Which edge functions need service-role write access?,supabase/migrations/20250304_0001_create_users_table.sql:54|supabase/migrations/20250826_0001_init.sql:43|supabase/migrations/20250902184556_0002_write_policies.sql:9|supabase/migrations/20250902184557_0003_mvp_anon_insert.sql:10
